lesson_number,volume,title_ko,title_fr,topic_ko,topic_fr
1,1,저는 대학생이에요,Je suis étudiant(e) à l'université,소개하기,Se présenter
2,1,어디에 가요?,Où allez-vous ?,장소와 행동,Lieux et actions
3,1,전화번호가 뭐예요?,Quel est votre numéro de téléphone ?,숫자와 전화번호,Chiffres et numéros de téléphone
4,1,책상 위에 지갑이 있어요,Il y a un portefeuille sur le bureau,위치 말하기,Indiquer l'emplacement
5,1,사과하고 오렌지가 맛있어요,Les pommes et les oranges sont délicieuses,물건 사기,Faire des achats
6,1,저는 비빔냉면을 좋아해요,J'aime le bibim naengmyeon,음식 주문하기,Commander de la nourriture
7,1,토요일에 뭐 해요?,Que faites-vous samedi ?,날짜 요일 시간,"Dates, jours et heures"
8,1,도서관에서 뭐 했어요?,Qu'avez-vous fait à la bibliothèque ?,과거 경험 말하기,Parler d'expériences passées
9,1,다음 주말에 같이 축구해요,Jouons au football ensemble le week-end prochain,취미와 약속,Loisirs et rendez-vous
10,1,낚시를 하러 갔어요,Je suis allé(e) pêcher,가족 소개,Présenter sa famille
11,1,콘서트를 보러 갈까요?,Allons-nous voir un concert ?,약속 정하기,Prendre rendez-vous
12,1,좀 춥고 눈도 많이 올 거예요,Il fait un peu froid et il neigera beaucoup,날씨 추측하기,Parler de la météo / déduire
13,1,어머니께 선물할 거예요,Je vais offrir un cadeau à ma mère,색깔과 옷,Couleurs et vêtements
14,1,배가 너무 불러서 베트남 음식을 못 먹었어요,J'étais tellement rassasié(e) que je ne pouvais pas manger de nourriture vietnamienne,이유 말하기,Expliquer une raison
